assettreat,asset_comp,isrstock,palstock,tradestock6all,age,faminc,religion,female,BA_or_higher,left_2013,left_2015,p_index_2013,p_index_2015
1,1,1,0,0,65,24000,jewish,0,1,0,1,13.03188682,10.64883709
0,0,0,0,1,50,16000,jewish,1,0,0,0,0.455873758,NA
0,0,0,0,0,37,3000,jewish,1,0,0,0,3.56654048,3.966073096
0,0,0,0,0,43,8000,jewish,1,0,0,0,15.32873988,8.651765585
1,1,0,1,0,49,16000,jewish,0,0,0,0,0.944821537,1.265808195
1,1,1,0,1,40,12000,jewish,0,1,0,1,17.67245293,18.03174257
1,1,1,0,1,42,12000,jewish,1,1,0,1,-10.89941859,-10.10818958
1,1,1,0,0,47,12000,jewish,1,1,0,1,3.206493258,5.783672333
1,0,1,0,0,37,12000,jewish,0,1,0,0,-10.89941859,-5.590324998
0,0,0,0,0,42,8000,jewish,1,1,0,0,-1.782368422,-3.416832983
1,1,0,0,1,59,12000,jewish,1,1,0,0,5.80478251,6.310444474
0,0,0,0,0,64,3000,jewish,1,0,0,1,3.206493258,3.78965199
1,0,1,0,0,30,12000,jewish,1,0,0,0,-6.422934532,-5.590324998
0,0,0,0,1,26,12000,jewish,0,0,0,0,-6.235423088,-0.907684043
0,0,0,0,0,53,16000,jewish,0,0,0,0,0.968251377,6.130972505
1,1,0,1,0,44,12000,jewish,1,1,1,1,-6.317464113,-5.590324998
1,1,1,0,1,46,3000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,0,1,1,37,3000,jewish,1,0,0,0,-4.184692502,3.436249495
1,1,1,0,0,33,12000,jewish,0,1,0,0,-1.782368422,8.648714423
1,1,0,0,0,38,12000,jewish,0,1,1,1,17.67245293,18.03174257
1,1,1,0,1,59,16000,jewish,0,1,0,1,10.10873199,10.8252573
1,1,0,1,1,43,24000,jewish,1,1,0,1,5.526776314,8.304464817
1,1,0,1,0,22,12000,jewish,0,0,0,1,3.56654048,-5.419445634
1,1,0,0,0,22,0,jewish,0,0,0,1,12.73045063,8.128044009
1,1,0,1,0,49,16000,jewish,0,1,1,1,10.38673759,13.16657782
1,1,0,0,1,59,12000,jewish,0,0,0,0,-10.89941859,-5.422496796
1,1,0,0,0,38,3000,jewish,1,1,1,0,5.746171474,6.310444474
1,1,0,1,0,53,8000,jewish,1,1,1,0,12.73045063,-10.10818958
1,1,1,0,0,35,12000,jewish,1,1,0,0,-10.89941859,-10.10818958
1,1,0,1,0,27,12000,jewish,1,0,0,0,-10.89941859,-3.069532514
1,1,0,0,1,53,12000,jewish,0,0,0,0,5.746171474,-0.551790707
1,0,1,0,0,59,3000,jewish,1,0,0,0,1.246257424,-5.425547957
1,1,0,0,0,57,3000,jewish,1,1,0,1,-1.782368422,11.00778103
1,1,0,0,0,46,12000,jewish,0,0,0,0,-6.422934532,-5.590324998
0,0,0,0,1,41,16000,jewish,0,1,0,1,0.780739337,8.304464817
1,1,0,0,1,24,12000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,0,1,0,41,24000,jewish,0,0,0,0,-6.317464113,-1.072461456
1,0,0,0,1,40,12000,jewish,0,1,0,0,-1.375461668,-5.590324998
1,1,0,1,0,22,16000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,0,1,0,65,12000,jewish,1,1,0,0,-6.317464113,-5.761204958
1,1,0,0,1,36,16000,jewish,0,1,0,0,-1.676897407,8.472293019
1,1,0,1,1,53,16000,jewish,0,1,0,0,2.846446037,6.130972505
1,1,0,0,1,40,24000,jewish,0,1,1,1,12.73045063,10.82830906
1,1,0,0,0,24,0,jewish,1,0,0,0,-6.258852482,-10.10818958
0,0,0,0,1,51,24000,jewish,0,1,0,0,17.67245293,18.03174257
1,1,1,0,0,72,24000,jewish,0,1,0,0,2.905057669,1.265808195
1,1,0,0,1,31,12000,jewish,0,0,0,0,17.67245293,18.03174257
0,0,0,0,0,54,16000,jewish,0,1,0,1,5.80478251,3.621823788
0,0,0,0,1,39,16000,jewish,0,1,0,1,-1.840979755,-7.934696674
1,1,0,1,0,41,12000,jewish,1,0,0,0,-10.89941859,1.613108665
1,1,0,1,0,50,16000,jewish,1,1,0,0,5.746171474,13.34910154
1,1,0,1,1,36,12000,jewish,0,1,1,1,8.148495555,6.310444474
1,1,0,0,0,40,16000,jewish,0,1,0,0,-1.840979755,1.101030856
1,0,1,0,0,62,12000,jewish,0,1,0,1,10.10873199,5.786723495
1,0,0,1,0,50,8000,jewish,0,1,0,1,10.38673759,13.34605098
0,0,0,0,0,56,16000,jewish,1,1,0,0,8.148495555,5.960093141
1,1,1,0,0,24,16000,jewish,0,0,0,0,-3.637133539,-0.72821185
1,1,0,1,0,59,8000,jewish,1,0,0,0,-10.89941859,-7.934696674
1,1,0,0,0,33,12000,jewish,0,1,0,0,-4.020610452,1.265808195
1,1,0,1,1,33,3000,jewish,0,1,0,0,-4.079221785,-5.761204958
1,1,0,1,1,32,12000,jewish,0,0,0,0,-4.020610452,-0.72821185
1,1,1,0,0,40,8000,jewish,1,1,0,0,-4.020610452,-5.425547957
1,1,0,1,1,49,12000,jewish,0,1,0,0,0.58477439,-0.896040201
1,1,0,1,0,32,12000,jewish,1,0,1,1,3.183063567,-0.899091288
1,1,1,0,0,60,12000,jewish,0,1,0,1,10.10873199,NA
1,1,1,0,1,38,8000,jewish,0,1,0,1,17.67245293,15.69042206
1,1,0,1,1,53,12000,jewish,0,1,0,0,-1.735508889,-1.072461456
1,1,1,0,1,58,24000,jewish,1,1,0,1,15.35216928,18.03174257
0,0,0,0,0,41,12000,jewish,0,0,0,0,2.823016644,3.44235152
0,0,0,0,1,60,12000,jewish,1,1,0,1,3.288534582,13.16657782
0,0,0,0,1,62,12000,jewish,0,1,0,0,-6.258852482,-10.10818958
1,1,1,0,0,45,8000,jewish,1,1,0,0,3.507929146,3.96912396
1,1,1,0,1,39,12000,jewish,1,1,0,0,-6.340893507,-0.731262937
1,0,0,1,0,53,12000,jewish,0,1,0,0,-6.317464113,-10.10818958
