"municpality","corruption","council.age","margin","reelected","transfers","poverty"
1505494,60.0000023841858,16,15.5200004577637,0,51.4200031757355,65.9089965820312
1505551,25,16,57.2400016784668,0,63.3499979972839,63.2949981689453
1505601,0,10,8.10599994659424,0,50.2399981021881,68.5189971923828
1505650,20.0000002980232,4,4.7979998588562,0,NA,52.109001159668
1505700,100,NA,7.32000017166138,0,54.610002040863,71.7699966430664
1506559,50,15,0.620000004768372,1,58.050000667572,78.0080032348633
1507409,0,13,25.8020000457764,0,60.0400030612946,62.4539985656738
1507474,0,12,10.4099998474121,1,24.0400016307831,73.7850036621094
1507706,50,17,43.148998260498,0,33.9100003242493,71.0869979858398
1508126,60.0000023841858,10,7.41099977493286,1,25.2400010824203,49.8839988708496
1600055,14.2857149243355,9,3.78699994087219,0,41.7899996042252,55.8499984741211
1600154,0,8,2.03999996185303,0,47.7799952030182,68.6100006103516
1600238,75,NA,15.0500001907349,0,47.9699969291687,62.4819984436035
1600253,33.3333343267441,7,7.3600001335144,0,34.5299988985062,72.6309967041016
1600303,25,4,12.4910001754761,1,44.3599998950958,35.4049987792969
1600535,41.6666656732559,5,18.8999996185303,1,71.4600026607513,52.3460006713867
1600808,25,9,14.5459995269775,0,40.26999771595,57.5309982299805
1700350,0,5,0.708000004291534,0,42.7900016307831,54.7729988098145
1702000,0,12,6.84800004959106,0,37.279999256134,39.132999420166
1703701,0,14,7.36399984359741,0,29.449999332428,64.5530014038086
1707009,0,13,8.45800018310547,0,49.0199983119965,51.0449981689453
1707108,0,12,11.6579999923706,0,52.8699994087219,55.5369987487793
1707553,0,11,16.193000793457,0,22.4199995398521,55.2869987487793
1707652,0,14,26.42799949646,0,18.9900010824203,48.0589981079102
1708205,0,12,3.03699994087219,0,45.2399998903275,50.7999992370605
1708254,20.0000002980232,11,21.0939998626709,0,30.0999999046326,58.4169998168945
1709005,0,10,0.509999990463257,0,55.5899977684021,82.7050018310547
1709807,20.0000002980232,4,11.5819997787476,0,26.6300022602081,67.8740005493164
1712504,0,15,43.439998626709,0,35.5100005865097,46.7060012817383
1712702,0,10,1.76999998092651,0,16.5800005197525,80.8040008544922
1713205,28.571429848671,13,11.1169996261597,0,52.9399991035461,39.75
1715705,40.0000005960464,9,19.6240005493164,0,30.9200018644333,73.2460021972656
1716109,0,NA,1.90799999237061,0,49.7100025415421,34.2179985046387
1717909,25,13,6.69299983978271,0,56.5900027751923,66.9619979858398
1718006,20.0000002980232,14,8.37399959564209,1,38.850000500679,71.0869979858398
1718709,25,7,6.88600015640259,0,17.2299981117249,58.2220001220703
1718907,50,16,6.80000019073486,0,44.7899997234344,71.9029998779297
1719004,20.0000002980232,10,21.1979999542236,1,42.6899999380112,71.745002746582
1720200,50,13,8.45800018310547,0,59.3800008296967,78.0749969482422
1720499,0,13,8.58199977874756,1,34.850001335144,59.4210014343262
1721307,0,6,26.9799995422363,0,24.5900005102158,71.3150024414062
2100105,0,NA,16.6989994049072,1,25.7999986410141,82.7480010986328
2100154,0,NA,15.4130001068115,0,52.0099997520447,84.6940002441406
2100477,66.6666686534882,8,10.4099998474121,0,56.1299979686737,81.0970001220703
2101004,40.0000005960464,9,39.0089988708496,1,NA,65.7129974365234
2101202,12.5,12,4.48799991607666,0,79.9700021743774,65.2669982910156
2101251,37.5,7,1.51800000667572,1,49.549999833107,78.1869964599609
2101806,0,12,7.40000009536743,0,37.0399981737137,75.3130035400391
2101939,66.6666686534882,8,11.5860004425049,0,46.629998087883,74.0550003051758
2102309,60.0000023841858,14,13.7419996261597,0,51.1300027370453,81.2919998168945
2102358,50,12,32.9599990844727,1,63.5600030422211,82.4000015258789
2102705,11.1111111938953,10,64.5439987182617,1,66.1099970340729,89.2740020751953
2102903,50,13,6.62599992752075,0,NA,78.4589996337891
2103109,25,0,9.60499954223633,0,48.7500041723251,77.1490020751953
2103406,25,18,35.0999984741211,0,167.830014228821,70.8270034790039
2103604,0,NA,12.5100002288818,0,70.5999970436096,79.588996887207
2103802,60.0000023841858,10,9.62399959564209,1,65.4500007629395,59.3349990844727
2104073,0,9,9.86699962615967,0,49.4299978017807,79.0270004272461
2104107,20.0000002980232,12,19.1399993896484,0,50,73.0029983520508
2104602,0,14,3.40000009536743,0,42.5200015306473,77.9219970703125
2104701,33.3333343267441,7,6.80200004577637,0,40.149998664856,73.2350006103516
2105104,33.3333343267441,10,3.37199997901917,0,52.2300004959106,85.2379989624023
2105450,66.6666686534882,8,10.4180002212524,0,42.069998383522,65.6989974975586
2105476,20.0000002980232,10,3.48799991607666,0,64.0399992465973,81.6529998779297
2105609,20.0000002980232,NA,9.01200008392334,1,48.5600024461746,80.7470016479492
2106409,100,17,94.1600036621094,0,82.7199995517731,81.9779968261719
2107209,40.0000005960464,14,6.84899997711182,0,60.2999985218048,84.7939987182617
2107258,0,13,4.19000005722046,1,49.0800023078918,81.0630035400391
2108900,12.5,NA,7.06199979782104,0,74.509996175766,79.2490005493164
2109270,50,10,11.6400003433228,0,73.1399953365326,79.2969970703125
2109502,16.666667163372,NA,9.16399955749512,0,54.4200003147125,74.0579986572266
2110005,60.0000023841858,9,6.29899978637695,0,59.6400022506714,78.8639984130859
2110104,100,NA,32.2089996337891,0,50.900000333786,83.3320007324219
2110500,55.5555582046509,12,15.8699998855591,1,65.7299995422363,76.1620025634766
2111003,75,NA,7.75899982452393,0,71.3899970054626,86.4909973144531
2111201,21.4285716414452,15,2.16899991035461,0,46.0500001907349,57.007999420166
2111409,0,1,2.46900010108948,0,48.9000022411346,80.8330001831055
2111607,28.571429848671,NA,25.5979995727539,0,30.7000011205673,69.9120025634766
2111904,16.666667163372,14,7.32600021362305,1,39.5799994468689,76.6429977416992
2112001,60.0000023841858,10,10.3620004653931,0,36.7200016975403,74.4909973144531
2112456,33.3333343267441,9,9.89999961853027,0,55.8600008487701,80.995002746582
2112704,71.4285731315613,NA,4.55999994277954,0,59.1300010681152,84.3109970092773
2200202,28.571429848671,13,24.3269996643066,0,73.7599968910217,60.0900001525879
2200277,0,15,100,1,44.0500020980835,60.9980010986328
2200301,0,13,8.22599983215332,1,62.2500002384186,78.3840026855469
2200400,50,17,18.5990009307861,0,53.3800005912781,69.8450012207031
2200509,20.0000002980232,16,3.28699994087219,0,61.6699993610382,69.9359970092773
2200608,16.666667163372,16,0.416999995708466,0,48.870000243187,69.0550003051758
2201408,0,NA,10.8079996109009,1,57.1200013160706,63.6040000915527
2201572,20.0000002980232,12,100,1,30.9399992227554,76.7300033569336
2201739,14.2857149243355,8,100,0,56.4899981021881,88.2509994506836
2201903,0,13,7.84600019454956,0,52.3999989032745,63.0009994506836
2202174,16.666667163372,10,10.9320001602173,0,47.4100023508072,85.4469985961914
2202406,0,11,9.84099960327148,0,65.530002117157,78.0410003662109
2202554,0,8,10.3559999465942,0,42.4100011587143,78.1259994506836
2202711,0,7,41.9440002441406,1,60.6700003147125,72.2539978027344
2202851,0,10,6.11399984359741,0,38.1100028753281,74.7320022583008
2203404,0,16,7.17999982833862,1,45.6499993801117,65.0319976806641
2203420,0,11,4.86999988555908,0,45.2399998903275,82.8580017089844
2203453,0,15,31.7800006866455,0,47.1699982881546,76.7239990234375
2203701,25,19,17.1100006103516,0,56.8400025367737,71.3320007324219
2203800,33.3333343267441,13,3.50999999046326,0,36.8400007486343,73.6289978027344
2205151,25,10,5.03000020980835,0,NA,78.2070007324219
2205276,0,6,6.88500022888184,0,44.9199974536896,72.370002746582
2205581,0,12,7.59999990463257,1,43.7399983406067,78.0970001220703
2206100,50,10,32.273998260498,0,57.6600015163422,79.1650009155273
2206696,0,11,3.2039999961853,0,52.7700006961823,86.8099975585938
2206753,0,8,0.217999994754791,0,51.3500034809113,75.8789978027344
2207306,0,17,0.400000005960464,0,58.490002155304,74.7129974365234
